bug_id,long_description,label
WWW.MOZILLA.ORG-579061,you have now a beta folder in your svn repository svn update reminder mozilla com repo for your locale is https svn mozilla org projects mozilla com trunk yourlocalecode the firstrun page is split in tasks translation of the page itself firefox beta firstrun index html adding and translating new strings in your main lang file these strings are for the video player on this page and will be used in other pages on the site see the webdashboard for your locale translation of the subtitles for the video located in includes l n sub fx firstrun beta html the subtitles are a simple html file each subtitle is enclosed in a please commit directly to svn and indicate your revision numbers here or alternatively attach your files to this bug upload them with the text plain mime type the staging site for the page is https www trunk stage mozilla com uk firefox b firstrun this page will be common for all betas so b b will actually point to beta if you have any question don t hesitate to ping me on irc pascalc or to put a message in your bug thanks,0
CORE_GRAVEYARD-330252,if you via script run through a document find an instance element and want to inspect its instance document you have to note its id and then go to the model element to ask for the instance document via the id it seems a bit awkward to me how about creating a scriptable function that returns the document directly on the instance itself interface nsixformsinstanceelement nsisupports nsidomdocument getinstancedocument and yes somebody i should make an effort to push some of these extensions to the wg ,0
CORE-345699,assertion bad geometric parent mframes containsframe anextinflow file nscontainerframe cpp line steps to reproduce load original testcase in bug i think the assertion on line is incorrect and should be removed http bonsai mozilla org cvsblame cgi file mozilla layout generic nscontainerframe cpp rev root cvsroot mark we will get the assertion when the frame anextinflow is on the overflow list if it can t be found on the overflow list either then we already have an assertion for that which is correct line ,0
CLOUD_SERVICES-508886,when we did a full copy of the db from fs for fs we lost the ability for the stats program on sm proxy to access the db on fs user database unavailable sqlstate access denied for user stats using password yes please restore if we need a new password let me know and i ll update ,0
MOZILLA.ORG_GRAVEYARD-436015,i updated the text in the template for www mozilla org owners html reed checked it in says despot needs to be updated see below comment from bug reed loden reed pdt checking in owners templ cvsroot mozilla webtools despot owners templv owners templ new revision previous revision done please file an it request to get despot updated ,0
CORE-318193,input streams are not implemented consistently this is a spin off from bug ,1
MOZILLA.ORG_GRAVEYARD-463439,please create a new l n central hg repository for a new firefox localization the repository should be l n central vi with the common l n permissions and hooks ,0
CORE-419093, bitwise and math partial sums string validate input,0
MOZILLA.ORG-339252,jose sun volunteers to step in for our firefox localization for traditional chinese zh tw he s a buddy of the owner who s in military service right now i m vouching for him jose please attach an ssh public key for your cvs account and fax snail mail the cvs contributor form ,0
CORE-58384,steps to reproduce right align some text set the letter spacing to some non zero value resize the window actual results text walks left and is no longer right aligned reproduced on a win k netscape commercial branch build ,1
BUGZILLA-275939,in urls the classififcation code uses filter html it should use url quote patch in a mo ,0
RELEASE_ENGINEERING-486871,it stops responding to pings then spontaneously comes back again time for a re image ,0
WWW.MOZILLA.ORG-318203, ,0
TOOLKIT-476299,this is part of to address bug instead of recalculating old frecencies we can just multiply them by a scaling factor similar to what we do for adaptive results if the page does get visited it ll go through the full frececency recalculation anyway ,1
TECH_EVANGELISM_GRAVEYARD-222910,user agent mozilla x u linux i en us rv a gecko build identifier mozilla x u linux i en us rv a gecko the mortgage calculator allows you to alter down payment and interest to determine monthly payment right now it doesn t work i m assuming bad javascript reproducible always steps to reproduce ,1
FIREFOX-344640,session managing extensions can t really take advantage of sessionstore if there s no way for them to get the collected session data all in one and per window and restore it the code is mostly there so this is rather a question of refining and exposing it ,1
MAILNEWS_CORE-491720,this is a copy of bug which has been repurposed and is a specific case spun off bug bug comment rimas kudelis pdt anyone want to try this feed for testing http www vu lt rq testfeed php it consists of three items and should generate new duplicates every five minutes so make sure you update often enough the catch here is every five minutes the feed changes its http response code from ok to error server failure when simulating a failure it doesn t present the user with any entries at all and this seems like enough to trigger the duplication when the entries are back after five minutes you can see the colorized sourcecode of the file here http www vu lt rq testfeed phps bug comment dan wing pdt i am able to duplicate the problem using the test feed at http www vu lt rq testfeed php using thunderbird i configured a new rss news blogs account that checks for new articles every minutes and contains only this test feed bug comment magnus melin pdt i also get duplicate items for that feed using mozilla x u linux i en us rv gecko thunderbird b pre id bug comment from unknown w brackets pdt well this is because of invalidateitems you see how it works is this step by step as i understand feed added to thunderbird on first check a every item is parsed b one by one added to the datastore with valid and stored arcs on next and subsequent checks a valid is unasserted for each item in datastore b items are added back into the datastore by setting valid c duplicates are checked for by existance in datastore with stored set d items that still don t have valid are removed so what s happening easier to reproduce with a feed that alternates between empty and not empty is that it gets the empty list clears all the items out http mxr mozilla org thunderbird source mail extensions newsblog content feed parser js and then flushes it d above next time it checks its duplicate cache is entirely empty and so it assumes all items are new to fix this i think the following might help afaict feed seems to expect that a will call onerror instead of onload but i m sure it doesn t check the status code a good place might be in ondownloaded or here http mxr mozilla org mozilla source mail extensions newsblog content feed js the clearing i mentioned invalidateitems call happens even if the feed is entirely empty i assume this is done to not store things indefinitely so not clearing it for an empty feed would help feeds can very they might come from load balanced servers future items may be removed bringing back older ones etc it would probably solve a lot of duplication problems to simply do expiration by date e g wait a day or a week i m not sure what s best there though doing it immediately seems clearly brittle to me i thought i d make this comment in case it helps i m not familiar with the code really at all but if anyone can confirm my understanding a bit top level i m happy to submit a patch just have to figure out mercurial i won t have time to test and write solution above in the next week i m a busy guy like most but and are very easy unknown bug comment from myk melez myk pdt in reply to comment afaict feed seems to expect that a will call onerror instead of onload but i m sure it doesn t check the status code a good place might be in ondownloaded or here that d work for errors and we should probably do it but it won t solve the problem for other cases of intermittent feed items that don t register an http failure which i ve noticed in a variety of feeds particularly google news ones the clearing i mentioned invalidateitems call happens even if the feed is entirely empty i assume this is done to not store things indefinitely so not clearing it for an empty feed would help hmm that seems problematic given that feeds can be legitimately empty in reply to comment in other words it never looks at the actual messages to determine uniqueness indeed and another solution to this problem might be to also check actual messages although that has its own problems since users can delete messages after reading them and we don t want those messages to reappear forumzilla used to do an additional check like this but i m not sure it was worth it bug comment from tuukka tolvanen sp pdt also reproducible in thunderbird b pre the two hints that the feed fetch is bad are the error response and the feed content having items the latter may be a more generally useful hint that whatever index flushing happens shouldn t happen if that s roughly how it goes haven t looked at this part of the code ,0
OTHER_APPLICATIONS-185272,user agent mozilla windows u windows nt en us rv gecko build identifier mozilla windows u windows nt en us rv gecko when connected to quakenet irc eu quakenet org and chatting in several channels at once some not all and not from any channel in particular ct somenick left undefined messages appear in a new tab called undefined the url for this tab reads irc quakenet undefined it does not happen on any other network but always when connected to quakenet reproducible always steps to reproduce connect to the quakenet irc network and start chatting actual results notice how after some time a new tab called undefined will show up observe how some user left channel messages where the channel name is always undefined will mysteriously find their way to this tab expected results the user left channel messages should quite obviously show up in the tabs for the respective channels which the users mentioned in the messages left ,1
TECH_EVANGELISM_GRAVEYARD-440991,user agent mozilla windows u windows nt en us rv gecko firefox build identifier mozilla windows u windows nt en us rv gecko firefox gives a bad file name error does not happen in other firefox releases or ie reproducible always steps to reproduce https printonline fedexkinkos com startnewjob do browse add file to job list actual results gives a bad file name error ,1
CORE-136264, object wrapped by xpconnect has members whose names shadow each other xpcnativeset x x e for the class classname htmlcollection contractid claims to implement interfaces nsisupports nsidomnodelist nsidomhtmlcollection nsidomnodelist item shadows nsidomhtmlcollection item nsidomnodelist length shadows nsidomhtmlcollection length nswindowwatcher setactivewindow nsidomwindow aactivewindow x nswindowwatcher setactivewindow nsidomwindow aactivewindow x document about blank loaded successfully xpc begin deferred release of nsisupports pointers xpc end deferred releases this debug output was generated by setting debug xpc hacker in mozilla js src xpconnect src xpcprivate h steps add flag to xpconnect rebuild xpconnect run mozilla navigator load composer ,1
MAILNEWS_CORE-384979,user agent mozilla x u linux i en us rv gecko iceweasel debian build identifier nstextformatter is not available in frozen code the only current alternative to part of its functionality is nsistringbundle while string bundle are probably the only place where nstextformatter is used the interface for technical reasons could not have a variable argument function it ended up exporting formatstringfromid and formatstringfromname both of which take an array of elements as params for nstextformatter smprintf all params prunichar arrays hence as in all other parts of the mozilla tree browser specially it is a good idea to migrate all localization strings to use s as format instead of d and ld the backend code could then convert the numbers to strings before calling formatstringbyid formatstringbyname this migration has a potential to break existing localized versions simple strings in properties files like received ld of ld messages in localmsgs properties will have to change to received s of s messages reproducible always,1
SEAMONKEY-25177, if a mail or a news posting is less than hours old only the time should be shown if a mail or a news posting is more than hours old but less than a week old the weekday plus the time should be shown if a mail or a news posting is more than a week old the full date should be shown ,1
WWW.MOZILLA.ORG-410269,i want to translate ko locale key pages such as index html products support and about ,1
MAILNEWS_CORE-511602,created attachment add stringbundle js to mailnews core utils we have come to the point where gloda needs to expose extensible parts of itself to the ui this means gloda and gloda plugins want an easy way to have localizations happen myk s stringbundle js meets the goal of easy since apart from importing the module getting a string bundle becomes a matter of new stringbundle chrome messenger locale gloda properties or the like i believe this had been proposed some time ago but for various reasons it petered out the review is really just a sign off request rather than a review request snowl and friends have been using the module for a while this has to go in mailnews because gloda lives there ,0
FIREFOX_BUILD_SYSTEM-389793,gmake entering directory export home mrbld tinderbox sunos depend mozilla content base test export home mrbld tinderbox sunos depend mozilla config nsinstall r test bug html test bug html test bug html test bug html test bug html test bug html test bug xhtml test bug html test bug xml test bug html test bug xhtml test bug html test bug html test bug xhtml test bug xul test bug html test bug html test bug xhtml test bug html test bug js test bug html test bug xhtml test bug xul test bug svg xhtml test bug html test bug html test bug xhtml test bug xhtml test bug xhtml test bug html test bug html test bug html test bug html test bug html test bug html test bug html test bug html test bug xhtml test bug html test bug html bug object html test crosssitexhr html file crosssitexhr fail xml file crosssitexhr fail xml file crosssitexhr fail xml headers file crosssitexhr fail xml file crosssitexhr fail xml file crosssitexhr pass xml file crosssitexhr pass xml headers file crosssitexhr pass xml file crosssitexhr pass xml tests testing mochitest tests content base test bin sh headers not found export home mrbld tinderbox sunos depend mozilla config nsinstall cannot change directory to file crosssitexhr fail xml not a directory bin sh file crosssitexhr fail xml not found bin sh file crosssitexhr pass xml not found bin sh headers not found gmake libs error ,0
TECH_EVANGELISM_GRAVEYARD-287865,user agent mozilla windows u windows nt en us rv b gecko firefox build identifier mozilla windows u windows nt en us rv b gecko firefox when im in http personal iddeo es lonesome keystone films htm and i click in any of the films links to www allmovie com it appears a dialog box that asks me what firefox should do if i choose open with dllfile default it opens windows window open with i choose ie but nothing happens why cant firefox open this link reproducible always steps to reproduce enter in http personal iddeo es lonesome keystone films htm click on any of the films click ok to open file with dllfile default actual results it opens the windows window open with i choose ie but nothing happens expected results access to the linkof course i have an amd duron with mb of ram the images in the home page http personal iddeo es lonesome index htm don t shows completelyand i d allready downloaded the java plugin besides i enter in a web to see a film trailer and it appaers a windows asking me to install activex to see the trailer as i know that it is a known ie vulnerabiloty i didn t click and when the player window appeared it shows loading all the time so i close it if i reenterd to the page didnt asks me for the activex and go directly to the player window i have to install activex to see some web contents and why i cant acces to the link below thanks for make this fast secure browser and i hope you ll fix thatcause i dont want to use ie again bye ,1
FIREFOX-367799,nsnavhistory cpp has some functions for finding out the effective tld of a url see gettldtype and friends this is now available as a service and we should switch to using that instead we might want to use the helpers proposed in bug if when they go in ,1
CORE-341245,there are some interfaces in layout xul base public which aren t used at all for example nsiboxlayoutmanager and nsiboxpaintmanager i think those can be removed nsibrowserboxobject nsiiframeboxobject and nsieditorboxobject have all just one attribute readonly attribute nsidocshell docshell imo those could be merged to nsidocshellcontainer or whatever would be a good name ,1
ADDONS.MOZILLA.ORG_GRAVEYARD-440546,unless i am mistaken the favorite model is currently only used by the facebook application there is therefore no need to pull it in on every amo page load we should not bind it by default and only use it when we need to ,1
CORE-474757,it was bug the patch was not landed on mozilla central ,0
FIREFOX-448922,user agent mozilla macintosh u intel mac os x en us rv gecko firefox build identifier mozilla macintosh u intel mac os x en us rv gecko firefox i ve been trying to increase the font size in the url bar i created a userchrome css file with the following urlbar font family monospace important font size pt important the font family was changed to monospace indicating that this is the correct css identifier for the url bar but the font size wasn t changed reproducible always steps to reproduce edit the userchrome css file as described above restart firefox gaze in wonder at the unchanged font size in the url bar actual results the font size does not change expected results the font size should increase to the specificed size ,1
OTHER_APPLICATIONS-206452,thanks to neil for finding this,0
CORE-373081,created attachment fix tests as described the thebes tests haven t been built for a while apparently because they haven t been kept in sync with various thebes api changes i ve updated the tests so that they build and mostly work i ve also extended the font selection tests to work on linux and i ve added a bunch of font selection test cases i think these tests should be built whenever tests are enabled the font selection tests are a problem because they depend on precisely what fonts you have installed for example my windows xp install doesn t have ms ui gothic so i fail font selection tests this is hard to fix one way to fix it would be to have the ability to restrict font selection to some hardcoded list of fonts per platform while testing and then check that those fonts actually exist on the user s system when they run the test in the font selection tests on linux font fallback doesn t seem to work i m not sure why probably i didn t initialize something but i m not sure what ,0
TECH_EVANGELISM_GRAVEYARD-190687,user agent mozilla windows u windows nt en us rv gecko build identifier mozilla windows u windows nt en us rv gecko in the page when you position the cursor with ie on the items of the horizontal menu bar at the top of page a sub menu will show with other items contained inside reproducible always steps to reproduce position cursor on menu bar actual results nothing expected results cause pull down sub menu pop up,1
FIREFOX-413068,after clicking remove bookmark the user should receive a notification informing them that the bookmark has been removed with an undo button to reverse the removal mockup available at http people mozilla com faaborg files granparadisoui places newbookmarkdialog i png,0
MOZILLA.ORG-246002,user agent mozilla windows u windows nt en us rv gecko firefox build identifier mozilla windows u windows nt en us rv gecko firefox i would like to obtain a cvs access so that i can pull the documents available under mozilla org for the mozilla gumi japanese translation project for details see http groups google com groups dq hl en lr ie utf threadm ca a a it ripley netscape com prev groups fhl den lr d ie dutf q dnetscape public mozilla documentation btng dsearch reproducible always steps to reproduce ,0
CALENDAR-412202,long text strings in reminder should use line breaks and not scroll horizontally at the moment long event titles are shown in one line and the window has a horizontal scroll bar this should generally be performed for strings used in the reminder if possible ,1
SKYWRITER_GRAVEYARD-499125,if you open the file browser and navigate around with the keyboard the selection cursor moves around much more slowly than you d want ,0
WEB_COMPATIBILITY-213915,user agent mozilla compatible msie windows nt build identifier mozilla x u linux i en us rv b gecko for example netscape is listed as supported but if you try to access with netscape you get the supported browsers list reproducible always steps to reproduce go to fafsa ed gov follow find my school codes image link third from bottom in the left hand column of bright green links actual results list of supported browsers appears user a library patron calls over the computer guy to fix this problem can i still fill out this form how do i get the codes expected results form asks what school year the user is applying for reproduced with the following browsers netscape win mozilla b linux i if i change my useragent string using the preferences toolbar i get the expected results however requiring users to do browser spoofing in order to use a government website is sick twisted and wrong ,1
MINIMO_GRAVEYARD-225394,don t even think we need ui to turn if on and off ,1
CORE-75785,meta bug for tracking work to make gecko accessible to assistive technology products ,1
MOZILLA.ORG-502086,user agent mozilla x u linux i en us rv a pre gecko minefield a pre build identifier i need commit access to the qac at http svn mozilla org qa qac i won t need superreviewer approval reproducible always,0
TOOLKIT-350495,according to tb there are quite a few crashes http bonsai mozilla org cvsblame cgi file mozilla toolkit components satchel src nsformfillcontroller cpp mark rev mozilla branch if the document is being destroyed docshell may be null ,0
TOOLKIT-525672,user agent mozilla macintosh u intel mac os x en us rv gecko firefox build identifier mozilla macintosh u intel mac os x en us rv gecko firefox not a specific and detailed bug report no send feedback grayed out at leave quick feedback ff for mac doesn t rid itself of the post add on updates restart firefox to complete your changes even after several restarts and the newly updated add ons are still grayed out reproducible always steps to reproduce find updates restart firefox tools add ons restart firefox still there actual results restart firefox still there newly updated add ons grayed out expected results i expected to a see different text in yellow strip e g updates completed b have the updated add ons enabled c close the add ons box ,1
CORE-205921,user agent mozilla windows u windows nt en us rv b gecko build identifier mozilla windows u windows nt en us rv b gecko preference browser cache disk cache ssl has no impact on persitently caching https pages reproducible always steps to reproduce open about configure and change browser cache disk cache ssl to true load a https page check your disk cache about cache device disk actual results the https page should be in the disk cache expected results the https page is only in the memory cache is this the intented behaviour a search for disk cache ssl on lxr mozilla org gives no results and no mention of such an option is made in the nshttpchannel class it would be however nice to have especially for embedding purposes ie has a similar working option which is inadvertently set on true by default implementing it would require some simple changes in the nshttpchannel class am i wrong that i would gladly make the default setting browser cache disk cache ssl false is surely the right thing to do but some embedding applications might be interested in caching https urls which is impossible at present ,1
CORE_GRAVEYARD-337675,user agent mozilla windows u windows nt en us rv gecko firefox build identifier mozilla windows u windows nt en us rv gecko firefox passing a java based implementation of an xpcom into a method that expects nsisupportsweakreference results in creating an instantly invalid weak reference if the passed java object has no other references to its xpcom stub the problematic code is in the setupparams native function in the case of native xpcom object the weak reference conversion is handled properly as follows nscomptr supportsweak do queryinterface xpcom obj if supportsweak nsweakptr weakref supportsweak getweakreference getter addrefs weakref ns release xpcom obj xpcom obj weakref ns addref xpcom obj else xpcom obj nsnull in the case of java based implementation the code is a bit strange nsjavaxptcstub stub ns static cast nsjavaxptcstub ns static cast nsxptcstubbase xpcom obj nsjavaxptcstubweakref weakref weakref new nsjavaxptcstubweakref java obj stub if weakref rv ns error out of memory break ns release xpcom obj xpcom obj weakref ns addref xpcom obj here a weak reference stub is created but the underlying stub is not getting its weak reference count updated therefore the following ns release xpcom obj destroys that object without regard to the weak reference the net result here is that weak reference refers to a deleted stub but does not know this further attemps to dereference or even free this weak reference can result in a system crash i have managed to work around this problem by changing the code for java based xpcom case to be similar to the native case this may cause memory leaks or some other problems but at least it fixes this bug reproducible always,1
FIREFOX-342182,text field on new bookmarks folder is too short this is a regression but i m not sure how recently mozilla macintosh u intel mac os x en us rv a gecko bonecho a screen shot coming ,0
THUNDERBIRD-321254,if you open the contacts sidebar in a compose window and leave it open and do an ldap search we don t close the ldap connection when the compose window closes we do close it if you close the sidebar however fix upcoming that closes the ldap connection and clears the search input when the compose window is closed this is all because of the compose window caching ,0
TECH_EVANGELISM_GRAVEYARD-218883,their home page http www tyan com and many other pages work as expected others do not such as url above broken image map links are search site map contact us home works on ie scripts don t seem to provide for anything except ie and n using document layers and document all ,1
WEBTOOLS_GRAVEYARD-306277,i was using doctor last week to update a file on mozilla org editor http doctor mozilla org file mozilla org html editor midas spec html it would have been easier and far less error prone if i could have clicked a button picked my copy of the file and then clicked through the save process to login etc this bug is a request for a browse button file picker next to the review changes button or about the text area thanks ,1
THUNDERBIRD-511721,since bug started linking xpts on os x we need an ifndef mozilla branch ifdef xp mac section in mail installer removed files in equivalent to the remove the xpts that were present at the time when we started linking xpts on linux you almost certainly don t want to add anything to this section chunk for linux or more likely since the lists should be substantially the same just ifdef a few differences inside that list and turn it into both linux and os x ,0
CORE-34242,i was looking through x font handling code and came upon the gtkfotnsel package which had a very interesting comment that some x servers will add extra font names to a reply to xlistfonts rather than to xlistfonts this is true for linux and xfree on my machine xlsfonts fn returns lines but xlsfonts fn return most if not all of the extra lines seem to be partially qualified forms of scalable fonts i e it s replacing some of the s more important the second form is significantly faster this suggests that a patch like index mozilla gfx src gtk nsfontmetricsgtk cpp rcs file cvsroot mozilla gfx src gtk nsfontmetricsgtk cppv retrieving revision diff u r nsfontmetricsgtk cpp mozilla gfx src gtk nsfontmetricsgtk cpp mozilla gfx src gtk nsfontmetricsgtk cpp if ggotallfontnames ggotallfontnames getfontnames getfontnames pl hashtableenumerateentries gfamilies searchfamily if ggotallfontnames ggotallfontnames getfontnames getfontnames return may be a performance win however trimming all the other wildcard strings to their shortest values may not be a good idea because at leat one font server xfstt has trouble with a string like arial as opposed to arial i suppose this is some kind of x feature but i have no idea what that is ,1
CORE-432967,stack is nsaccutils haslistener acontent nil aeventtype class line in nsaccessibilityutils cpp nsaccessible getnumactions this xef anumactions x c d line in nsaccessible cpp nsaccessiblewrap createmaiinterfaces this xef line in nsaccessiblewrap cpp nsaccessiblewrap getnativeinterface this xef aoutaccessible x c c line in nsaccessiblewrap cpp we should not call nsaccutils isxlink and nsaccutils haslistener is content is null in nsaccessible getnumactions mdomnode is nshtmldocument,1
NSPR-184517,we need support for solaris packaging in nspr the differences between nsprpub release sun pkg branch and nsprpub release need to checked into nsprpub release branch see http bugzilla mozilla org show bug cgi id ,0
CORE-472410,created attachment patch on dark themes i ve noticed the colour of the selection background when highlighted is actually reversed we do this to improve contrast in some situations but it is not desired in this case this is due to a css rule in autocomplete that sets background color transparent this gets passed down to the textbox where our algorithm doesn t like the luminous value of a transparent colour to fix this we must halt this inheritance i ve added a dummy background color that is ignored in favour of the moz appearance rule in the same clause but it fixes the bug ,0
CORE_GRAVEYARD-99855,enter foo in the url bar where foo is cnn sun microsoft whatever mozilla adds the www and com and gets there but http cnn would be added to the url bar history ,1
MOZILLA_LOCALIZATIONS-369454,created attachment the patch the team lt has discovered a spelling error in toolkit translation and we d like to have it fixed in mozilla branch,0
CLOUD_SERVICES-448098,user agent mozilla windows u windows nt en us rv gecko firefox build identifier https addons mozilla org en us firefox addon they did work together pre weave x but since upgrading weave i ve realized stealther hasn t worked reproducible always steps to reproduce install both weave and stealther try and enable stealther you can t disable weave and stealther works fine,1
MOZILLA_LOCALIZATIONS-453534,the penelope project was created to help migrate classic eudora users over to using thunderbird it s an extension to thunderbird that provides the look and feel of eudora and some of eudora s features the source code for penelope is kept in it would be nice to get localizations of penelope in to other languages rimas kudelis has already created localizations in to lithuanian could a place to store these localizations get created in the standard l n central repository thanks ,1
TECH_EVANGELISM_GRAVEYARD-186997,user agent mozilla windows u win en us rv gecko build identifier mozilla windows u win en us rv gecko these things are like tooltips for web pages apparantly yet another gotcha from our friend billy gates they don t show in mozilla but if you ctrl c copy the text surrounding it it gets copied reproducible always steps to reproduce go to http www microsoft com technet treeview default asp url technet prodtechnol windowsnetserver proddocs server fsutil volume asp about of the way down the scrollable frame on the right look for underlined text globally unique identifier guid it looks like a link in ie it pops up a window that says a byte value generated from the unique identifier on a device the current date and time and a sequence number a guid is used to identify a particular device or component actual results in mozilla you don t see the popup expected results sigh chase bill gates again and figure out how to show those tags if bill knows mozilla won t show these he ll lure users of front page etc into using them more and more ,1
CORE-468397,this bug was identified in bug comment i m spinning it off here as it s independent of bug the problem is that liboggplay can get stuck in an infinite loop in oggplay step decoding and that locks the video thread description from bug comment liboggplay gets caught in oggplay set decoding here s a typical stack gklayout dll oggplay callback info prepare oggplay me x e oggplaycallbackinfo info x fdd line xc bytes c gklayout dll oggplay step decoding oggplay me x e line xd bytes c gklayout dll nsoggdecodestatemachine decodeframe line xc bytes c gklayout dll nsoggdecodestatemachine run line x bytes c xpcom core dll nsthread processnextevent int maywait x int result x ff line c xpcom core dll ns processnextevent p nsithread thread x e int maywait x line x bytes c xpcom core dll nsthread threadfunc void arg x e line xb bytes c nspr dll pr nativerunthread void arg x line xf bytes c nspr dll pr root void arg x line xf bytes c msvcr d dll callthreadstartex line xf bytes c msvcr d dll threadstartex void ptd x line c kernel dll basethreadstart x bytes the call to oggplay callback info prepare oggplay c sets info to null which triggers the null test at oggplay c to cause us to jump back to read more data but the if me active tracks block oggplay c triggers us not to exit because we might need to return some data left over at the end of a once active track that has had all of its data processed the need data check decides we don t need to read data and we break and then end up at the oggplay callback info prepare oggplay c and we repeat the loop it s not exactly clear what s going on in liboggplay but it looks like liboggplay can have overhangs in its data tracks where a previously active track s read cursor is overhung by the end of the read block and liboggplay needs to callback the decoder with enough data for the now inactive track to complete its last data block granule i think the problem is when we reach eof while trying to fill up one of these overhangs the overhang can t be filled and the loop bounces back around refusing to exit while the overhang isn t filled info null oggplay c but unwilling to fill the overhang because of the read target for that track is met need data oggplay c if i ignore the need data check at oggplay c and do a read anyway the read fails as we re at eof testcase to follow ,0
CORE-278983,user agent mozilla windows u windows nt hu hu rv gecko firefox build identifier mozilla windows u windows nt hu hu rv gecko firefox if i want to see the print preview of a page which contains not only a tbody but a thead or a tfoot tag as well and tbody s css setting is the following page break before always page break after always page break inside avoid then the program does not respond any more if there is only a tbody without thead and tfoot then the problem does not appear reproducible always steps to reproduce to reproduce the bug do the following steps open the attached file choose the file print preview menupoint the problem is rather important because if i have more firefox instances running in several separate windows then all of them will hang up ,0
FIREFOX_GRAVEYARD-355112,we should remove any feeds disabled ifndef moz feeds code in browser i ll talk to benjamin later on including the feeds toolkit component by default thus getting rid of enable disable feeds and file a separate bug per se ,0
SEAMONKEY-274238,i moved aside an object directory that had been through many depend builds and rebuilt it from scratch to find a dependency problem i haven t actually found the problem yet this showed me that mozilla config nsbuildid h has insufficient dependencies the diff of nsbuildid h between the trees built from identical source was firefox opt bad config nsbuildid h firefox opt config nsbuildid h if creating a release build eg mozilla official is set then gre build id will be updated to contain if building a milestone build eg moz milestone release is set then gre build id will just contain define gre build id a define gre build id a endif nsbuildid h the copies in dist which are symlinks to this one differ the same way of course ,0
TOOLKIT-384526,it has some useful optimizations but we ll have to change our code a bit ,1
ADDONS.MOZILLA.ORG_GRAVEYARD-416171,need to audit the tests to repair tests that failed because of changes in html ,1
INFRASTRUCTURE_&_OPERATIONS_GRAVEYARD-483245,please run the following queries in production socorro postgres db if there is any output please paste in bug drop index topcrashurlfacts day key drop index topcrashurlfacts productdims key drop index topcrashurlfacts signaturedims key drop index topcrashurlfacts urldims key create index topcrashurlfacts date prod url sig on topcrashurlfacts day productdims id urldims id signaturedims id ,0
CORE-6296,build win m mac netscape mac m sea bin os tried win winnt mac go to above url or use abbreviated code below reload a few times takes only or reloads on mac more on windows mac crashes system windows crashes viewer and makes machine unstable note this test crashes the ngdriver test driver tool abbreviated code bug a href testdata test gif name anchor alt this is a test of the image attribute hi document writeln document anchors item name ,1
MOZILLA.ORG_GRAVEYARD-332154,i need ssh login access to megalon so i can see the mozilla cvs server s rcs files and manipulate them as necessary mostly cvsmoves looking at rcs files etc ,0
MAILNEWS_CORE-124486,the mail app can t find the outlook express address book when you try to import it if the address book isn t in the default directory for that user i keep my address book and mail in a directory as far away from my c drive as possible there s no place to tell mozilla where to look for the address book and it never found it i had to open oe export it to a csv file and import it into mozilla from that ,1
TECH_EVANGELISM_GRAVEYARD-281307,user agent mozilla compatible msie windows nt sv build identifier mozilla windows u windows nt en us rv gecko firefox when trying option other in a multiple choice style of form firefox is unable to click in the field to type and enter text the flashing text line appears for a split second then disappears and the focus is back on the dot to the left of other reproducible always steps to reproduce browse to https survey vt edu survey entry jsp id click the dot to the left of other attempt to click the field to the right of other actual results firefox is unable to keep the focus on the text field to type into expected results it works with ie but not with netscape ,1
CAMINO_GRAVEYARD-297488,camino v a with bfcache enabled browser sessionhistory max viewers camino will sometimes crash when i close a tab window or quit camino no crash with bfcache turned off just before the crash camino will hang for some seconds with the nice spinning bathball ,1
CALENDAR-355295,sister bug to bug create and upload lightning s release notes ,0
SEAMONKEY-159771,ecolor highlight looks weird also menu color may correspond to system wide as classic theme should match platform as possible ,1
MOZILLA.ORG_GRAVEYARD-456160,tinderbox mozilla org is mostly down right now http tinderbox mozilla org showbuilds cgi tree firefox hours gives a internal server error or just hangs while trying to load http tinderbox mozilla org firefox shows a static page that hasn t been updated for over minutes which seems likely to be around when the problems started this blocks people from pushing to hg ,0
TECH_EVANGELISM_GRAVEYARD-105250,from bugzilla helper user agent mozilla x u linux i en us rv gecko buildid consider these too links docs docs in mozilla only the second one works as expected both work in any other browser i d tested opera netscape links lynx ie html validator parses this lines without errors such lines can be found on ibm http www ibm com servers eserver ecatalog ww there are hidden links for mozilla reproducible always steps to reproduce add slash before in opening tag e g docs actual results docs is not link expected results docs is link,1
