Tempo,Estação,LAT,LONG,Movimentação,Original_473,Original_269,Zero,Maçã-Verde,Tangerina,Citrus,Açaí-Guaraná,Pêssego,TARGET
2019-8-17,Sé,-23.55,-46.6333,191572,36,24,8,6,31,13,14,27,NORMAL
2018-12-25,Sé,-23.55,-46.6333,192299,40,17,3,21,4,20,15,43,REABASTECER
2018-7-7,Brás,-23.5451,-46.6162,71600,86,56,36,15,5,37,10,9,REABASTECER
2018-7-30,Brás,-23.5451,-46.6162,73829,28,44,27,30,5,4,7,29,REABASTECER
2018-11-25,Brás,-23.5451,-46.6162,73547,7,24,52,8,25,26,15,18,REABASTECER
2018-5-18,Brás,-23.5451,-46.6162,72064,38,34,37,29,5,41,36,4,NORMAL
2018-7-11,Brás,-23.5451,-46.6162,73518,45,26,16,43,31,19,35,31,NORMAL
2018-1-9,Brás,-23.5451,-46.6162,73840,6,22,6,19,12,13,9,12,REABASTECER
2018-10-5,Brás,-23.5451,-46.6162,70694,74,9,65,10,29,15,8,18,REABASTECER
2018-5-29,Brás,-23.5451,-46.6162,71660,17,45,39,36,38,15,33,39,NORMAL
2019-2-28,Brás,-23.5451,-46.6162,70499,32,27,65,14,41,20,16,41,NORMAL
2018-3-19,Barra Funda,-23.5542,-46.6707,147187,86,4,51,27,19,30,17,24,REABASTECER
2019-9-8,Brás,-23.5451,-46.6162,71884,64,43,48,32,17,28,24,38,NORMAL
2018-7-3,Barra Funda,-23.5542,-46.6707,148268,6,21,23,9,43,15,13,38,REABASTECER
2019-5-10,Barra Funda,-23.5542,-46.6707,147226,54,11,40,6,39,7,7,37,REABASTECER
2018-8-10,Barra Funda,-23.5542,-46.6707,148572,86,7,36,26,5,31,14,25,NORMAL
2019-6-25,Barra Funda,-23.5542,-46.6707,149040,77,58,44,31,27,39,33,16,NORMAL
2019-10-6,Barra Funda,-23.5542,-46.6707,147209,58,55,26,10,33,19,23,37,NORMAL
2019-12-22,Barra Funda,-23.5542,-46.6707,149258,34,45,53,43,16,5,26,25,REABASTECER
2019-3-7,Barra Funda,-23.5542,-46.6707,147547,86,20,25,33,30,17,24,31,NORMAL
2018-10-1,Ana Rosa,-23.5813,-46.6383,65840,66,50,40,39,38,13,30,43,NORMAL
2019-1-12,Ana Rosa,-23.5813,-46.6383,67514,40,10,65,16,28,19,36,24,NORMAL
2019-3-11,Ana Rosa,-23.5813,-46.6383,65684,86,44,65,6,9,14,12,15,NORMAL
2019-3-19,Ana Rosa,-23.5813,-46.6383,66920,9,65,9,22,21,38,20,23,REABASTECER
2019-7-22,Luz,-23.5365,-46.6332,124199,15,65,29,4,38,30,20,37,REABASTECER
2019-1-13,Ana Rosa,-23.5813,-46.6383,67669,31,4,55,15,25,19,30,22,NORMAL
2018-6-8,São Joaquim,-23.5618,-46.6389,34148,86,56,33,33,11,39,22,43,NORMAL
2018-9-5,São Joaquim,-23.5618,-46.6389,36181,21,38,39,27,22,43,40,32,NORMAL
2018-10-9,São Joaquim,-23.5618,-46.6389,32934,4,27,13,16,43,27,27,33,NORMAL
2019-12-28,Ana Rosa,-23.5813,-46.6383,66669,31,10,33,26,13,31,43,18,NORMAL
2019-3-22,São Joaquim,-23.5618,-46.6389,33882,30,56,60,12,11,41,16,43,NORMAL
2019-3-12,Ana Rosa,-23.5813,-46.6383,64459,78,38,60,43,6,14,8,12,REABASTECER
2019-6-11,São Joaquim,-23.5618,-46.6389,36217,40,43,29,11,43,19,32,30,NORMAL
2019-10-22,São Joaquim,-23.5618,-46.6389,33983,86,25,43,20,18,22,7,13,NORMAL
2019-8-22,Ana Rosa,-23.5813,-46.6383,64405,86,61,45,13,20,38,8,33,NORMAL
2019-10-12,Ana Rosa,-23.5813,-46.6383,65387,52,29,58,5,33,38,31,34,NORMAL
2018-1-26,São Judas,-23.6255,-46.6411,17453,28,49,23,20,29,5,21,20,NORMAL
2019-2-27,São Joaquim,-23.5618,-46.6389,33206,18,7,45,21,31,24,38,11,NORMAL
2018-5-3,São Judas,-23.6255,-46.6411,14076,43,65,23,10,26,12,41,43,NORMAL
2019-6-22,São Joaquim,-23.5618,-46.6389,36520,32,48,7,21,38,26,36,35,NORMAL
2018-2-18,São Joaquim,-23.5618,-46.6389,32790,43,50,39,25,27,18,31,41,NORMAL
2018-6-18,São Judas,-23.6255,-46.6411,17335,44,34,40,32,19,17,9,30,NORMAL
2018-4-5,São Joaquim,-23.5618,-46.6389,33623,34,5,61,31,19,31,6,22,REABASTECER
2018-10-28,São Judas,-23.6255,-46.6411,17285,45,18,59,14,32,19,13,21,NORMAL
2018-10-1,São Joaquim,-23.5618,-46.6389,34124,86,3,0,31,37,20,22,19,NORMAL
2018-10-5,São Joaquim,-23.5618,-46.6389,33040,48,50,44,23,21,6,2,5,NORMAL
2018-6-17,São Judas,-23.6255,-46.6411,15815,53,38,47,38,24,20,12,36,NORMAL
2018-9-2,São Judas,-23.6255,-46.6411,15787,66,53,45,22,33,36,17,32,NORMAL
2019-8-1,São Joaquim,-23.5618,-46.6389,33032,73,14,46,38,17,34,37,19,NORMAL
2019-9-4,São Joaquim,-23.5618,-46.6389,34262,20,4,10,10,12,30,37,11,NORMAL
2018-2-11,Vila Mariana,-23.5895,-46.6346,23176,42,31,57,10,21,21,18,1,REABASTECER
2018-3-18,Vila Mariana,-23.5895,-46.6346,21135,40,53,56,22,11,9,5,35,NORMAL
2019-8-21,São Judas,-23.6255,-46.6411,16443,65,12,34,33,43,38,36,5,NORMAL
2018-8-24,Vila Mariana,-23.5895,-46.6346,22721,11,6,20,35,29,27,32,39,REABASTECER
2018-11-19,Vila Mariana,-23.5895,-46.6346,22040,14,27,53,34,29,23,29,38,NORMAL
2018-9-27,São Judas,-23.6255,-46.6411,16519,5,19,5,27,22,39,12,20,REABASTECER
2019-1-23,São Judas,-23.6255,-46.6411,15062,32,31,55,25,15,33,9,16,NORMAL
2018-9-26,Vila Mariana,-23.5895,-46.6346,21205,20,11,24,4,30,15,28,4,REABASTECER
2019-4-12,São Judas,-23.6255,-46.6411,13859,35,63,32,8,26,16,22,9,NORMAL
2019-6-16,São Judas,-23.6255,-46.6411,14944,86,61,19,30,9,43,37,43,NORMAL
2019-12-6,Vila Mariana,-23.5895,-46.6346,22373,54,20,19,31,43,31,39,43,NORMAL
2018-9-7,Brooklin,-23.6263,-46.6878,28710,41,37,65,10,14,17,35,10,NORMAL
2018-4-28,Vila Mariana,-23.5895,-46.6346,24099,77,65,28,28,33,16,28,43,NORMAL
2019-2-6,Vila Mariana,-23.5895,-46.6346,21490,69,5,50,35,28,29,19,43,REABASTECER
2019-2-19,Vila Mariana,-23.5895,-46.6346,23193,24,62,28,6,12,26,14,40,NORMAL
2019-3-24,Vila Mariana,-23.5895,-46.6346,22565,27,59,47,32,39,43,40,33,NORMAL
2018-10-23,Brooklin,-23.6263,-46.6878,29881,25,16,17,22,43,25,22,33,NORMAL
2019-11-9,Brooklin,-23.6263,-46.6878,28170,48,9,36,10,15,8,43,43,REABASTECER
2019-1-20,Sé,-23.55,-46.6333,192138,70,9,36,25,35,22,3,23,REABASTECER
2018-5-19,Brás,-23.5451,-46.6162,73607,30,30,29,29,43,40,34,43,NORMAL
2018-11-28,Sé,-23.55,-46.6333,193479,29,65,15,7,21,19,25,13,NORMAL
2018-12-30,Sé,-23.55,-46.6333,192324,77,51,35,43,29,43,35,20,NORMAL
2019-1-1,Sé,-23.55,-46.6333,192392,65,43,27,37,25,38,32,14,NORMAL
2019-11-1,Sé,-23.55,-46.6333,194014,86,54,10,6,9,40,17,22,REABASTECER
2018-8-25,Brás,-23.5451,-46.6162,72993,36,30,59,43,29,13,43,10,NORMAL
2018-10-9,Brás,-23.5451,-46.6162,74131,28,52,32,41,7,42,34,43,NORMAL
2019-4-22,Sé,-23.55,-46.6333,191837,51,52,57,32,43,2,23,31,REABASTECER
2018-11-18,Brás,-23.5451,-46.6162,70544,79,58,35,33,14,7,39,4,REABASTECER
2018-3-21,Brás,-23.5451,-46.6162,74493,55,65,41,5,29,9,23,11,NORMAL
2018-7-5,Brás,-23.5451,-46.6162,71086,24,8,52,22,15,42,18,20,NORMAL
2019-12-12,Sé,-23.55,-46.6333,195171,50,52,10,24,18,29,11,25,NORMAL
2018-1-1,Brás,-23.5451,-46.6162,72983,86,65,65,43,43,43,43,43,NORMAL
2018-10-7,Brás,-23.5451,-46.6162,72974,51,58,48,5,18,5,43,8,NORMAL
2019-9-21,Brás,-23.5451,-46.6162,72166,6,31,31,21,12,30,19,35,NORMAL
2019-10-22,Brás,-23.5451,-46.6162,71211,36,44,17,29,18,21,14,40,NORMAL
2018-2-7,Barra Funda,-23.5542,-46.6707,150321,74,45,25,33,20,40,22,25,NORMAL
2018-7-29,Brás,-23.5451,-46.6162,72821,36,48,31,34,8,10,10,34,NORMAL
2019-7-29,Brás,-23.5451,-46.6162,71641,4,39,2,22,12,21,43,20,NORMAL
2019-9-20,Brás,-23.5451,-46.6162,72348,16,34,35,27,17,32,21,40,NORMAL
2018-7-14,Barra Funda,-23.5542,-46.6707,146887,78,27,17,11,35,26,9,36,NORMAL
2018-7-21,Barra Funda,-23.5542,-46.6707,149679,7,55,37,30,6,5,16,11,NORMAL
2019-11-2,Brás,-23.5451,-46.6162,72319,22,40,12,9,25,32,18,41,NORMAL
2019-2-22,Brás,-23.5451,-46.6162,71569,5,65,46,30,21,41,35,18,REABASTECER
2019-4-13,Brás,-23.5451,-46.6162,71155,13,28,9,17,15,9,10,8,NORMAL
2019-6-8,Brás,-23.5451,-46.6162,72312,86,26,32,7,12,10,35,43,NORMAL
2018-7-13,Barra Funda,-23.5542,-46.6707,147085,86,30,21,16,39,28,11,39,NORMAL
2018-7-17,Barra Funda,-23.5542,-46.6707,147487,47,7,61,43,26,19,37,25,REABASTECER
2019-6-12,Barra Funda,-23.5542,-46.6707,149504,26,14,65,38,43,38,43,24,NORMAL
2019-9-18,Barra Funda,-23.5542,-46.6707,147704,46,25,14,17,17,32,1,29,REABASTECER
2019-1-13,Barra Funda,-23.5542,-46.6707,148607,78,9,65,36,37,11,43,2,NORMAL
2019-12-14,Barra Funda,-23.5542,-46.6707,147552,32,40,44,26,7,31,10,9,NORMAL
2019-3-17,Barra Funda,-23.5542,-46.6707,149482,74,19,7,13,35,33,31,37,NORMAL
2019-7-9,Barra Funda,-23.5542,-46.6707,146860,29,44,7,39,11,43,22,8,NORMAL
2018-3-23,São Joaquim,-23.5618,-46.6389,35038,73,16,5,13,18,35,10,28,REABASTECER
2019-1-5,Ana Rosa,-23.5813,-46.6383,65512,32,58,39,26,11,42,13,11,NORMAL
2018-5-27,São Joaquim,-23.5618,-46.6389,34996,34,5,41,21,12,26,27,37,REABASTECER
2019-2-16,Ana Rosa,-23.5813,-46.6383,65455,67,65,20,36,25,43,26,19,NORMAL
2019-6-28,São Joaquim,-23.5618,-46.6389,36051,54,18,27,43,15,8,7,17,NORMAL
2018-12-2,São Joaquim,-23.5618,-46.6389,35723,78,41,40,18,33,40,21,34,NORMAL
2019-11-15,São Joaquim,-23.5618,-46.6389,33183,35,21,14,40,20,27,39,43,NORMAL
2019-1-30,São Joaquim,-23.5618,-46.6389,34000,22,58,46,18,17,25,8,31,NORMAL
2019-12-8,Ana Rosa,-23.5813,-46.6383,67492,57,10,44,43,24,14,3,8,REABASTECER
2019-5-20,São Joaquim,-23.5618,-46.6389,33566,77,35,49,2,41,43,37,30,REABASTECER
2018-6-12,São Judas,-23.6255,-46.6411,14948,3,7,12,13,43,32,27,13,NORMAL
2018-7-1,São Joaquim,-23.5618,-46.6389,36122,50,36,16,19,15,39,23,2,NORMAL
2019-5-13,São Joaquim,-23.5618,-46.6389,33309,61,13,23,27,21,24,25,22,NORMAL
2019-3-29,São Judas,-23.6255,-46.6411,17191,74,7,56,15,43,14,35,21,REABASTECER
2018-4-24,Vila Mariana,-23.5895,-46.6346,21086,25,22,61,39,5,30,43,16,REABASTECER
2018-4-27,Vila Mariana,-23.5895,-46.6346,21704,86,4,38,29,38,21,34,2,REABASTECER
2018-5-5,Vila Mariana,-23.5895,-46.6346,22426,7,22,51,9,39,37,2,14,REABASTECER
2019-7-15,São Judas,-23.6255,-46.6411,17084,63,26,14,22,18,38,9,10,NORMAL
2019-10-4,São Judas,-23.6255,-46.6411,15956,63,7,55,29,40,41,36,38,REABASTECER
2018-5-23,São Judas,-23.6255,-46.6411,14753,20,56,24,38,35,37,12,7,NORMAL
2018-12-3,Vila Mariana,-23.5895,-46.6346,23444,57,65,14,24,18,28,11,34,NORMAL
2019-12-21,São Judas,-23.6255,-46.6411,14878,86,17,56,16,35,7,27,21,NORMAL
2018-8-13,Brooklin,-23.6263,-46.6878,28753,21,9,50,29,24,26,5,22,NORMAL
2019-10-30,Vila Mariana,-23.5895,-46.6346,23600,63,31,60,12,17,9,25,5,NORMAL
2018-7-29,Vila Mariana,-23.5895,-46.6346,23270,86,24,10,30,37,12,5,7,REABASTECER
2018-2-30,Brooklin,-23.6263,-46.6878,29263,25,10,38,24,31,31,43,12,NORMAL
2018-11-5,Vila Mariana,-23.5895,-46.6346,21487,58,47,20,24,43,28,43,11,NORMAL
2019-1-6,Vila Mariana,-23.5895,-46.6346,23769,86,62,51,37,13,7,7,38,NORMAL
2019-2-5,Vila Mariana,-23.5895,-46.6346,22150,79,11,55,37,31,34,25,4,REABASTECER
2019-11-12,Brooklin,-23.6263,-46.6878,29634,18,48,18,3,43,37,34,29,NORMAL
2018-2-26,Campo Belo,-23.6188,-46.6823,25677,58,32,42,43,8,10,29,5,REABASTECER
2019-4-8,Brooklin,-23.6263,-46.6878,26340,48,27,56,18,23,24,34,43,NORMAL
2019-11-7,Vila Mariana,-23.5895,-46.6346,24496,77,49,14,30,34,25,33,20,NORMAL
2019-8-20,Brooklin,-23.6263,-46.6878,28720,41,57,40,8,32,30,16,4,REABASTECER
2018-3-20,Brooklin,-23.6263,-46.6878,26637,12,26,28,34,36,14,13,36,REABASTECER
2018-10-20,Campo Belo,-23.6188,-46.6823,25970,1,59,31,27,32,24,35,13,REABASTECER
2019-2-26,Campo Belo,-23.6188,-46.6823,23164,32,31,48,15,16,34,40,32,NORMAL
2018-11-23,Campo Belo,-23.6188,-46.6823,24444,42,61,58,9,11,41,19,13,NORMAL
2019-9-27,Sé,-23.55,-46.6333,192231,57,2,65,25,9,8,21,31,NORMAL
2019-1-11,Sé,-23.55,-46.6333,193398,69,53,34,11,31,43,33,21,NORMAL
2018-6-26,Sé,-23.55,-46.6333,194532,33,18,9,19,43,10,9,37,NORMAL
2019-3-6,Sé,-23.55,-46.6333,191483,67,15,51,5,18,43,36,7,REABASTECER
2018-11-6,Sé,-23.55,-46.6333,191580,57,49,21,39,13,4,31,14,NORMAL
2019-12-3,Sé,-23.55,-46.6333,193449,47,37,65,39,13,20,13,19,NORMAL
2018-7-23,Brás,-23.5451,-46.6162,71967,9,16,4,10,32,30,34,20,NORMAL
2019-8-22,Brás,-23.5451,-46.6162,71138,49,20,38,8,4,26,39,17,NORMAL
2018-8-11,Brás,-23.5451,-46.6162,72590,1,33,17,43,40,19,14,26,REABASTECER
2018-12-27,Brás,-23.5451,-46.6162,72447,51,22,29,32,25,37,9,17,NORMAL
2019-2-29,Brás,-23.5451,-46.6162,73542,24,25,57,10,38,14,11,37,NORMAL
2018-2-19,Barra Funda,-23.5542,-46.6707,147392,35,40,6,34,11,43,10,24,REABASTECER
2018-7-7,Barra Funda,-23.5542,-46.6707,149991,57,61,65,39,27,43,39,21,NORMAL
2018-5-18,Barra Funda,-23.5542,-46.6707,147572,23,29,33,13,10,31,4,39,REABASTECER
2018-8-19,Barra Funda,-23.5542,-46.6707,150544,77,12,51,43,2,10,21,30,REABASTECER
2019-6-7,Barra Funda,-23.5542,-46.6707,149194,72,41,39,13,24,14,23,2,REABASTECER
2018-7-8,Tatuapé,-23.5402,-46.5765,71011,78,14,28,38,6,43,10,25,REABASTECER
2019-2-3,Barra Funda,-23.5542,-46.6707,149492,65,22,54,23,33,34,2,11,NORMAL
2019-11-20,Barra Funda,-23.5542,-46.6707,150072,24,55,30,43,25,16,13,38,NORMAL
2019-11-17,Faria Lima,-23.5675,-46.6929,53593,5,28,65,26,37,25,14,43,NORMAL
2019-12-10,Faria Lima,-23.5675,-46.6929,53686,49,8,25,33,28,43,2,43,NORMAL
2019-12-22,Pinheiros,-23.5664,-46.703,77636,74,21,7,20,3,42,43,12,REABASTECER
2018-8-15,Pinheiros,-23.5664,-46.703,78952,40,14,57,40,7,31,5,22,REABASTECER
2018-10-27,Butantã,-23.5844,-46.7252,67787,86,60,45,16,29,4,25,30,NORMAL
2019-11-3,Butantã,-23.5844,-46.7252,66492,2,29,61,31,18,35,29,15,REABASTECER
2019-12-29,Butantã,-23.5844,-46.7252,64290,86,12,11,26,15,41,10,24,NORMAL
2018-5-24,Fradique Coutinho,-23.5661,-46.6841,36369,72,59,41,37,15,27,11,19,NORMAL
2019-12-23,Butantã,-23.5844,-46.7252,66143,48,50,49,5,39,17,33,3,NORMAL
2018-11-2,Butantã,-23.5844,-46.7252,66470,28,19,11,39,9,25,11,15,NORMAL
2018-11-22,Butantã,-23.5844,-46.7252,64228,17,2,65,21,13,43,3,28,REABASTECER
2019-2-5,Butantã,-23.5844,-46.7252,66142,73,53,17,36,14,6,27,18,REABASTECER
2018-4-29,Fradique Coutinho,-23.5661,-46.6841,35866,45,34,28,43,36,33,41,41,NORMAL
2019-6-4,Fradique Coutinho,-23.5661,-46.6841,35258,57,36,65,40,6,30,3,22,REABASTECER
2019-8-11,Butantã,-23.5844,-46.7252,67561,27,37,31,28,27,10,17,39,NORMAL
2018-11-17,Fradique Coutinho,-23.5661,-46.6841,34970,47,30,37,31,43,15,33,26,NORMAL
2018-1-20,Fradique Coutinho,-23.5661,-46.6841,35080,76,8,55,26,6,10,3,11,REABASTECER
2019-3-29,Fradique Coutinho,-23.5661,-46.6841,36716,73,65,32,14,10,43,2,14,NORMAL
2018-3-6,Luz,-23.5365,-46.6332,127031,47,56,3,31,13,1,43,34,NORMAL
2018-3-30,Luz,-23.5365,-46.6332,124482,53,34,42,36,43,12,21,34,NORMAL
2018-6-17,Fradique Coutinho,-23.5661,-46.6841,34928,2,39,13,21,10,14,40,8,REABASTECER
2018-10-18,Luz,-23.5365,-46.6332,126220,86,16,56,22,35,16,33,22,NORMAL
2018-11-13,Luz,-23.5365,-46.6332,126183,21,7,17,30,19,23,8,12,REABASTECER
2018-11-29,Fradique Coutinho,-23.5661,-46.6841,34932,11,13,7,40,36,22,21,17,REABASTECER
2019-1-29,Fradique Coutinho,-23.5661,-46.6841,36839,86,36,59,40,34,34,43,21,NORMAL
2019-4-26,Luz,-23.5365,-46.6332,126364,60,43,1,20,38,11,21,21,REABASTECER
2018-7-23,Luz,-23.5365,-46.6332,127115,78,45,13,24,39,32,17,38,NORMAL
2019-7-13,Luz,-23.5365,-46.6332,126734,15,46,25,41,27,15,12,37,NORMAL
2019-7-28,Luz,-23.5365,-46.6332,127573,46,31,54,30,13,18,37,16,NORMAL
2019-8-8,Luz,-23.5365,-46.6332,124492,28,47,56,37,10,25,34,14,NORMAL
2018-1-16,Ana Rosa,-23.5813,-46.6383,66096,23,40,24,43,18,6,17,25,REABASTECER
2019-8-15,Luz,-23.5365,-46.6332,125060,52,3,65,18,31,41,5,30,REABASTECER
2019-10-10,Luz,-23.5365,-46.6332,125928,30,32,65,34,12,6,26,10,NORMAL
2018-7-20,Luz,-23.5365,-46.6332,124055,13,57,40,33,8,35,31,10,NORMAL
2018-8-8,Luz,-23.5365,-46.6332,124985,12,7,20,17,26,33,43,15,NORMAL
2018-3-18,Ana Rosa,-23.5813,-46.6383,66297,42,32,48,32,13,6,24,43,REABASTECER
2019-3-1,Ana Rosa,-23.5813,-46.6383,66529,86,37,65,39,4,35,17,12,REABASTECER
2019-5-11,Ana Rosa,-23.5813,-46.6383,66067,30,11,24,3,38,36,23,27,REABASTECER
2019-5-6,Luz,-23.5365,-46.6332,125833,53,55,65,19,43,24,30,14,NORMAL
2019-7-28,Ana Rosa,-23.5813,-46.6383,67091,54,65,12,13,24,19,7,43,NORMAL
2018-2-8,São Joaquim,-23.5618,-46.6389,32657,64,33,55,14,19,12,25,38,NORMAL
2018-5-2,São Joaquim,-23.5618,-46.6389,35841,34,30,14,33,33,20,35,39,NORMAL
2019-9-9,Ana Rosa,-23.5813,-46.6383,63870,22,33,42,22,35,32,27,43,NORMAL
2019-9-19,Ana Rosa,-23.5813,-46.6383,66984,14,37,41,33,39,6,28,5,NORMAL
2018-12-19,São Joaquim,-23.5618,-46.6389,34510,76,52,61,32,9,18,41,9,NORMAL
2018-2-8,São Joaquim,-23.5618,-46.6389,32657,64,33,55,14,19,12,25,38,NORMAL
2019-1-13,São Joaquim,-23.5618,-46.6389,32693,17,22,32,39,34,37,25,6,NORMAL
2018-2-26,Faria Lima,-23.5675,-46.6929,52647,74,13,10,43,22,5,29,8,NORMAL
2018-6-14,Faria Lima,-23.5675,-46.6929,52811,67,46,28,43,11,17,31,37,NORMAL
2018-6-20,Faria Lima,-23.5675,-46.6929,52501,11,10,56,29,31,42,9,7,NORMAL
2018-7-3,Faria Lima,-23.5675,-46.6929,54973,72,14,38,37,21,11,43,3,NORMAL
2019-5-4,Faria Lima,-23.5675,-46.6929,54282,32,55,15,20,4,6,38,16,NORMAL
2019-7-28,Higienópolis-Mackenzie,-23.5488,-46.6519,93428,10,40,11,9,43,12,30,7,NORMAL
2019-9-2,Faria Lima,-23.5675,-46.6929,52565,13,44,35,11,37,11,15,7,NORMAL
2019-11-18,Higienópolis-Mackenzie,-23.5488,-46.6519,92722,69,56,14,34,36,31,14,41,NORMAL
2019-1-4,Faria Lima,-23.5675,-46.6929,53205,45,58,21,7,15,26,32,16,NORMAL
2019-2-3,Faria Lima,-23.5675,-46.6929,51915,27,16,5,35,25,25,43,31,NORMAL
2018-5-9,Pinheiros,-23.5664,-46.703,77958,26,13,33,8,43,23,31,29,NORMAL
2018-11-10,Pinheiros,-23.5664,-46.703,77630,63,57,12,25,17,8,36,25,NORMAL
2019-1-30,Faria Lima,-23.5675,-46.6929,53963,58,35,27,4,38,36,13,43,REABASTECER
2019-1-4,Pinheiros,-23.5664,-46.703,76819,54,65,24,24,22,9,7,10,NORMAL
2018-5-12,Pinheiros,-23.5664,-46.703,76893,86,65,16,42,26,14,17,19,NORMAL
2019-7-16,Faria Lima,-23.5675,-46.6929,53371,21,46,65,32,7,37,22,28,NORMAL
2019-9-6,Pinheiros,-23.5664,-46.703,77115,34,65,29,7,24,17,43,39,NORMAL
2018-11-22,Pinheiros,-23.5664,-46.703,78660,39,42,49,24,12,28,35,23,NORMAL
2019-6-10,Pinheiros,-23.5664,-46.703,77488,73,19,41,42,43,31,30,30,NORMAL
2018-6-22,Pinheiros,-23.5664,-46.703,78375,63,65,7,35,33,33,40,25,REABASTECER
2018-8-13,Pinheiros,-23.5664,-46.703,77377,57,28,7,2,16,34,12,32,NORMAL
2018-8-3,Butantã,-23.5844,-46.7252,67014,26,11,24,25,15,6,14,43,REABASTECER
2018-2-11,Butantã,-23.5844,-46.7252,64600,44,20,51,12,35,29,22,7,NORMAL
2018-2-19,Butantã,-23.5844,-46.7252,65083,53,41,59,26,37,43,31,21,NORMAL
2019-2-4,Pinheiros,-23.5664,-46.703,76229,5,8,3,4,32,43,17,14,NORMAL
2018-6-16,Butantã,-23.5844,-46.7252,65480,39,32,65,19,29,15,17,16,NORMAL
2019-6-19,Butantã,-23.5844,-46.7252,64923,15,16,7,16,35,10,15,34,NORMAL
2018-9-30,Butantã,-23.5844,-46.7252,64109,4,30,47,16,5,43,38,38,REABASTECER
2019-8-22,Butantã,-23.5844,-46.7252,65224,8,39,22,5,27,13,15,37,REABASTECER
2019-9-28,Butantã,-23.5844,-46.7252,67293,75,25,30,43,27,24,43,25,NORMAL
2018-12-1,Butantã,-23.5844,-46.7252,64026,19,20,5,21,23,21,12,37,REABASTECER
2018-5-6,Butantã,-23.5844,-46.7252,65515,78,9,36,22,23,25,21,12,NORMAL
2019-7-13,Butantã,-23.5844,-46.7252,64946,45,65,33,38,13,31,43,28,NORMAL
2018-6-3,Fradique Coutinho,-23.5661,-46.6841,34954,62,63,46,19,22,43,13,25,NORMAL
2019-11-29,Butantã,-23.5844,-46.7252,65475,18,65,8,43,6,36,5,23,REABASTECER
2019-12-4,Butantã,-23.5844,-46.7252,64760,54,38,36,22,31,18,31,2,NORMAL
2019-4-28,Butantã,-23.5844,-46.7252,65837,76,22,50,41,13,21,43,36,NORMAL
2019-9-15,Fradique Coutinho,-23.5661,-46.6841,35920,16,2,61,13,38,39,37,32,NORMAL
2019-10-15,Fradique Coutinho,-23.5661,-46.6841,34667,75,31,53,12,3,36,11,3,REABASTECER
2019-12-2,Fradique Coutinho,-23.5661,-46.6841,34163,28,29,44,32,43,11,43,33,NORMAL
2018-1-26,Luz,-23.5365,-46.6332,125791,86,35,23,10,18,9,27,20,NORMAL
2018-3-16,Fradique Coutinho,-23.5661,-46.6841,36450,47,40,60,6,39,39,34,11,NORMAL
2018-6-13,Luz,-23.5365,-46.6332,127440,22,8,59,30,18,14,40,29,NORMAL
2018-6-30,Luz,-23.5365,-46.6332,123918,32,40,65,13,32,21,22,3,NORMAL
2018-7-15,Luz,-23.5365,-46.6332,125017,68,17,10,43,25,17,10,32,NORMAL
2019-9-30,Fradique Coutinho,-23.5661,-46.6841,36877,44,56,16,13,17,34,23,16,NORMAL
2018-8-26,Luz,-23.5365,-46.6332,124504,6,19,18,43,36,36,27,24,REABASTECER
2019-11-19,Fradique Coutinho,-23.5661,-46.6841,33903,78,28,1,21,6,9,9,43,REABASTECER
2018-10-5,Fradique Coutinho,-23.5661,-46.6841,36839,17,61,12,30,39,13,23,16,NORMAL
2019-3-17,Luz,-23.5365,-46.6332,124877,7,7,55,39,16,8,14,11,REABASTECER
2018-4-29,Luz,-23.5365,-46.6332,126404,15,58,33,29,14,10,33,43,NORMAL
2019-9-18,Fradique Coutinho,-23.5661,-46.6841,34396,78,54,43,9,22,29,26,18,NORMAL
2019-11-20,Luz,-23.5365,-46.6332,127150,86,32,65,32,18,5,37,17,REABASTECER
2018-3-21,Pinheiros,-23.5664,-46.703,78545,68,28,39,10,26,24,4,37,REABASTECER
2019-8-18,Faria Lima,-23.5675,-46.6929,54014,67,55,61,8,43,14,27,21,NORMAL
2018-6-17,Pinheiros,-23.5664,-46.703,79780,20,37,41,15,13,43,20,43,NORMAL
2018-9-29,Faria Lima,-23.5675,-46.6929,52812,9,40,20,5,14,43,25,41,REABASTECER
2018-9-20,Pinheiros,-23.5664,-46.703,78631,45,53,27,7,37,43,43,3,NORMAL
2018-11-16,Faria Lima,-23.5675,-46.6929,52077,65,18,23,27,38,34,11,29,NORMAL
2018-11-28,Pinheiros,-23.5664,-46.703,76196,64,3,65,4,37,11,7,37,REABASTECER
2018-1-26,Pinheiros,-23.5664,-46.703,79997,86,38,22,3,31,25,21,43,NORMAL
2018-12-10,Pinheiros,-23.5664,-46.703,77915,33,13,50,43,31,24,11,28,NORMAL
2018-7-5,Pinheiros,-23.5664,-46.703,78069,15,54,56,35,32,29,34,16,NORMAL
2019-5-14,Pinheiros,-23.5664,-46.703,77184,79,35,19,21,9,27,11,5,REABASTECER
2018-7-24,Pinheiros,-23.5664,-46.703,77022,86,13,3,14,7,20,3,22,NORMAL
2019-7-22,Faria Lima,-23.5675,-46.6929,54153,50,15,28,8,23,28,43,43,NORMAL
2019-1-5,Pinheiros,-23.5664,-46.703,78280,41,55,17,20,20,7,5,5,NORMAL
2018-3-2,Pinheiros,-23.5664,-46.703,78919,75,18,37,19,17,34,43,28,NORMAL
